"","section.id","country","city","valid","protest","tt","rr","cc","kk","vm","po","valid.net","tt.perc","rr.perc","cc.perc","kk.perc","vm.perc","po.perc","top6.ballots","top6.perc","tt.rank","rr.rank","cc.rank","kk.rank","vm.rank","po.rank","tt","rr","cc","kk","vm","po"
"1",320100003,"Australia","Brisbane",45,2,14,13,4,7,4,0,43,0.325581395348837,0.302325581395349,0.0930232558139535,0.162790697674419,0.0930232558139535,0,42,0.933333333333333,1,2,4,3,4,6,1,2,4,3,4,6
"2",320100001,"Australia","Canberra",40,1,3,17,11,0,1,0,39,0.0769230769230769,0.435897435897436,0.282051282051282,0,0.0256410256410256,0,32,0.8,3,1,2,5,4,5,3,1,2,5,4,5
"3",320100004,"Australia","Melbourne",115,3,45,13,24,22,1,0,112,0.401785714285714,0.116071428571429,0.214285714285714,0.196428571428571,0.00892857142857143,0,105,0.91304347826087,1,4,2,3,5,6,1,4,2,3,5,6
"4",320100005,"Australia","Perth",81,9,30,11,11,7,2,0,72,0.416666666666667,0.152777777777778,0.152777777777778,0.0972222222222222,0.0277777777777778,0,61,0.753086419753086,1,2,2,4,5,6,1,2,2,4,5,6
"5",320100002,"Australia","Sidney",148,8,60,22,16,10,8,1,140,0.428571428571429,0.157142857142857,0.114285714285714,0.0714285714285714,0.0571428571428571,0.00714285714285714,117,0.790540540540541,1,2,3,4,5,6,1,2,3,4,5,6
"6",320200012,"Austria","Bregenz",122,13,23,19,24,14,19,0,109,0.211009174311927,0.174311926605505,0.220183486238532,0.128440366972477,0.174311926605505,0,99,0.811475409836066,2,3,1,5,3,6,2,3,1,5,3,6
"7",320200006,"Austria","Vienna",608,32,149,100,112,71,51,20,576,0.258680555555556,0.173611111111111,0.194444444444444,0.123263888888889,0.0885416666666667,0.0347222222222222,503,0.827302631578947,1,3,2,4,5,6,1,3,2,4,5,6
"8",320200007,"Austria","Vienna",761,61,243,141,107,82,43,11,700,0.347142857142857,0.201428571428571,0.152857142857143,0.117142857142857,0.0614285714285714,0.0157142857142857,627,0.823915900131406,1,2,3,4,5,6,1,2,3,4,5,6
"9",320200013,"Austria","Vienna",558,35,177,112,75,66,28,4,523,0.338432122370937,0.21414913957935,0.1434034416826,0.126195028680688,0.0535372848948375,0.00764818355640535,462,0.827956989247312,1,2,3,4,5,6,1,2,3,4,5,6
"10",320200302,"Austria","Vienna",505,30,154,89,77,72,28,7,475,0.324210526315789,0.187368421052632,0.162105263157895,0.151578947368421,0.0589473684210526,0.0147368421052632,427,0.845544554455446,1,2,3,4,5,6,1,2,3,4,5,6
"11",320200011,"Austria","Graz",168,9,41,22,25,31,13,0,159,0.257861635220126,0.138364779874214,0.157232704402516,0.19496855345912,0.0817610062893082,0,132,0.785714285714286,1,4,3,2,5,6,1,4,3,2,5,6
"12",320200010,"Austria","Salzburg",214,15,22,59,21,40,26,2,199,0.110552763819095,0.296482412060302,0.105527638190955,0.201005025125628,0.130653266331658,0.0100502512562814,170,0.794392523364486,4,1,5,2,3,6,4,1,5,2,3,6
"13",320200008,"Austria","Innsbruck",183,16,36,33,32,32,26,1,167,0.215568862275449,0.197604790419162,0.191616766467066,0.191616766467066,0.155688622754491,0.00598802395209581,160,0.87431693989071,1,2,3,3,5,6,1,2,3,3,5,6
"14",320200009,"Austria","Linz",200,18,31,37,42,22,24,1,182,0.17032967032967,0.203296703296703,0.230769230769231,0.120879120879121,0.131868131868132,0.00549450549450549,157,0.785,3,2,1,5,4,6,3,2,1,5,4,6
