,section.id,country,city,country_c,city_c,valid,protest,tt,rr,cc,kk,vm,po
1,320100003,Australia,Brisbane,<U+0410><U+0432><U+0441><U+0442><U+0440><U+0430><U+043B><U+0438><U+044F>,<U+0411><U+0440><U+0438><U+0437><U+0431><U+0435>,45,2,14,13,4,7,4,0
2,320100001,Australia,Canberra,<U+0410><U+0432><U+0441><U+0442><U+0440><U+0430><U+043B><U+0438><U+044F>,<U+041A><U+0430><U+043D><U+0431><U+0435><U+0440>,40,1,3,17,11,0,1,0
3,320100004,Australia,Melbourne,<U+0410><U+0432><U+0441><U+0442><U+0440><U+0430><U+043B><U+0438><U+044F>,<U+041C><U+0435><U+043B><U+0431><U+044A><U+0440>,115,3,45,13,24,22,1,0
4,320100005,Australia,Perth,<U+0410><U+0432><U+0441><U+0442><U+0440><U+0430><U+043B><U+0438><U+044F>,"<U+041F><U+044A><U+0440><U+0442>	",81,9,30,11,11,7,2,0
5,320100002,Australia,Sidney,<U+0410><U+0432><U+0441><U+0442><U+0440><U+0430><U+043B><U+0438><U+044F>,"<U+0421><U+0438><U+0434><U+043D><U+0438>	",148,8,60,22,16,10,8,1
6,320200012,Austria,Bregenz,<U+0410><U+0432><U+0441><U+0442><U+0440><U+0438><U+044F>,"<U+0411><U+0440><U+0435><U+0433><U+0435><U+043D><U+0446>	",122,13,23,19,24,14,19,0
7,320200006,Austria,Vienna,<U+0410><U+0432><U+0441><U+0442><U+0440><U+0438><U+044F>,"<U+0412><U+0438><U+0435><U+043D><U+0430>	",608,32,149,100,112,71,51,20
8,320200007,Austria,Vienna,<U+0410><U+0432><U+0441><U+0442><U+0440><U+0438><U+044F>,"<U+0412><U+0438><U+0435><U+043D><U+0430>	",761,61,243,141,107,82,43,11
9,320200013,Austria,Vienna,<U+0410><U+0432><U+0441><U+0442><U+0440><U+0438><U+044F>,"<U+0412><U+0438><U+0435><U+043D><U+0430>	",558,35,177,112,75,66,28,4
10,320200302,Austria,Vienna,<U+0410><U+0432><U+0441><U+0442><U+0440><U+0438><U+044F>,"<U+0412><U+0438><U+0435><U+043D><U+0430>	",505,30,154,89,77,72,28,7
11,320200011,Austria,Graz,<U+0410><U+0432><U+0441><U+0442><U+0440><U+0438><U+044F>,"<U+0413><U+0440><U+0430><U+0446>	",168,9,41,22,25,31,13,0
